"filename", "language", "Java", "XML", "comment", "blank", "total"
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\item_chat_other.xml", "XML", 0, -57, 0, -8, -65
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\item_dialog_popular_question.xml", "XML", 0, -36, 0, -6, -42
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\item_dialog_textview.xml", "XML", 0, -11, 0, -1, -12
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\item_question_hint_layout.xml", "XML", 0, -25, 0, -4, -29
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\update_popup.xml", "XML", 0, -76, 0, -12, -88
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\user_item.xml", "XML", 0, -59, 0, -8, -67
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\menu\menu.xml", "XML", 0, -8, 0, -3, -11
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, -5, 0, 0, -5
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, -5, 0, 0, -5
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\values\colors.xml", "XML", 0, -15, 0, -2, -17
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\values\dimens.xml", "XML", 0, -3, 0, 0, -3
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\values\strings.xml", "XML", 0, -4, -1, -1, -6
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\values\styles.xml", "XML", 0, -14, 0, -7, -21
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\values\themes.xml", "XML", 0, -16, -2, -7, -25
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\xml\network_security_config.xml", "XML", 0, -8, 0, 0, -8
"Total", "-", 2397, -1676, 90, 550, 1361
